gid,objectname,the_geom_text,geom_type,properties
27160,JL. RO ELANG 4500,"LINESTRING(117.444570374054 0.607942926276388,117.444645733701 0.607494097786862,117.444599273184 0.606910719722713,117.444449197482 0.606123545124275)",road,203.677
26491,JL. ALBATROS 03,"LINESTRING(117.464163471116 0.718028853209829,117.464574376637 0.719804367326301)",road,201.584
18627,JL. RO PARIS 01,"LINESTRING(117.44713356017 0.694932190383529,117.447212180165 0.694510811479288)",road,47.408
33723,JL. RO GARUDA 06,"LINESTRING(117.475976007026 0.690974878040513,117.475487648759 0.691699128103925)",road,96.79
4048,JL. RO MALAGA 06,"LINESTRING(117.438484938171 0.620199279858558,117.438747995314 0.619072979921888)",road,127.936
14146,IN CRUSHER 1,"LINESTRING(117.507221876904 0.549310915220441,117.508047263663 0.549478050342794)",road,93.718
14147,IN CRUSHER 2,"LINESTRING(117.507221876904 0.549310915220441,117.508412474164 0.549362620158943)",road,132.654
33714,JL. RO RAJAWALI 16300,"LINESTRING(117.476474733495 0.679002396114199,117.476378240046 0.679279326796566)",road,32.451
32485,IN CS. SAKURA,"LINESTRING(117.460740368799 0.628037187951801,117.461423392133 0.628126111490584,117.461829993454 0.627713965606526,117.461478837768 0.627401621864796)",road,193.052
36757,IN SUPPORT MT H,"LINESTRING(117.462724378641 0.66752933560813,117.463133683917 0.667476557152815)",road,45.933
37176,IN FRONT EX1161,"LINESTRING(117.443701568947 0.669269920449437,117.443332969239 0.66966659264138,117.443118817905 0.669851205859935,117.443074510733 0.670139202480881,117.443118817905 0.670441968159311,117.443229585836 0.670722580251514)",road,190.897
26440,IN DISP. SUPPORT M2,"LINESTRING(117.49461908659 0.552993008935434,117.494813313982 0.553595113851421,117.496115028669 0.553782498009696)",road,216.373
37173,IN FRONT EX1168,"LINESTRING(117.469131695903 0.717908469281307,117.46967566413 0.717711113358641,117.470046198341 0.717221660795288,117.470258996928 0.717036320090919,117.47054044022 0.716981404326661,117.470869934805 0.716926488562404,117.471226887273 0.716864708327614,117.471371041154 0.71672741891697,117.471425956918 0.716500891389408,117.471371586802 0.716124877227481,117.471377905624 0.716068429745879)",road,369.301
33724,JL. RO GARUDA 07,"LINESTRING(117.476184268779 0.689694068257467,117.475976007026 0.690974878040513)",road,143.51
11262,JL. RO AHMAD DAHLAN 03,"LINESTRING(117.436407238442 0.604671216649287,117.437009689622 0.60465916762568,117.437551895684 0.604647118602073,117.438021807605 0.604671216649287,117.438551964644 0.60465916762568,117.439299004107 0.604562775436823)",road,322.683
33725,JL. RO GARUDA 08,"LINESTRING(117.476175565652 0.689104434015463,117.476184268779 0.689694068257467)",road,65.206
14143,JL. RO CRUSHER 03,"LINESTRING(117.499223657261 0.55354524980923,117.499940882777 0.553091431401874,117.500921016602 0.552749162447176,117.502212304022 0.552266874374648)",road,363.091
15528,JL. RO KAKAKTUA 01,"LINESTRING(117.474068610787 0.714747490783275,117.475056338023 0.714695788873501,117.477396489169 0.714793295171246)",road,370.801
35726,JL. CAMAR 01,"LINESTRING(117.465765207934 0.696275740463093,117.465892100402 0.695225353183327,117.465884654428 0.694663977256047,117.465910401924 0.694395058958206,117.465968414725 0.694147866479669)",road,237.04
14150,IN CRUSHER 5,"LINESTRING(117.505090474777 0.54963762649538,117.506490665955 0.550757779438027,117.50750191514 0.551426759667663,117.508500316869 0.551651698097247)",road,447.665
34506,JL. CANBERA 03,"LINESTRING(117.458364289491 0.707415996880749,117.457730294305 0.707805335672627,117.456482481091 0.708906217161832)",road,267.354
11470,IN STP. BELUT 2,"LINESTRING(117.437976134626 0.601878526798674,117.437929000778 0.601541907307973,117.438460089425 0.601237846184811,117.438619894029 0.601302429764237,117.438802559734 0.60139299020041)",road,147.432
28721,JL. RO STP BELUT 00,"LINESTRING(117.436407238442 0.604671216649287,117.436379870278 0.604487968338642,117.436327689383 0.604239487887029,117.436384839887 0.603909008886384,117.436514049722 0.603677922066384,117.436839559113 0.603590953908319,117.437075615542 0.603613317148964)",road,178.868
18628,JL. RO PARIS 02,"LINESTRING(117.447256889323 0.697518100268548,117.447136237988 0.697065910971199,117.447038944648 0.696476559875331,117.447014527739 0.695957700559904,117.44713356017 0.694932190383529)",road,289.437
26775,JL. RO HASSANUDIN 2900,"LINESTRING(117.456025368524 0.601638874133786,117.454702902344 0.602877726519091)",road,201.085
36968,IN FRONT EX1802,"LINESTRING(117.44092223516 0.665211557640952,117.440746320679 0.666066697477351,117.440689412929 0.666697682957891,117.440687682519 0.666892518233644,117.440619271332 0.667058659687573,117.440384718691 0.667219914628151,117.440229845274 0.667115501035044)",road,260.417
4049,JL. RO MALAGA 05,"LINESTRING(117.438747995314 0.619072979921888,117.43884902532 0.618662183681413,117.438753211414 0.617072360292048)",road,222.912
26776,JL. RO HASSANUDIN 3100,"LINESTRING(117.454702902344 0.602877726519091,117.453148959463 0.603791810566691)",road,200.34
37110,IN FRONT EX1854,"LINESTRING(117.45406178143 0.691457632297619,117.454328926862 0.691985851675405,117.454790359882 0.692271211569152,117.455312507773 0.692435141720879,117.455628225102 0.692386569824071,117.456120015557 0.692246925620748,117.456666449396 0.692325854953061,117.457081815607 0.692481590172013,117.457339154894 0.692589943555994,117.457493558466 0.692741638293566,117.457378660482 0.692934191345309,117.456831787927 0.69288339562712,117.456303315004 0.69312206025417)",road,595.426
37127,IN MHR BONTANG,"LINESTRING(117.488025816649 0.717988197002495,117.487534720164 0.718032268194853)",road,54.881
32488,IN CS. SINERGIS,"LINESTRING(117.45952558745 0.649933981043516,117.458632518139 0.649941241769618,117.458338458732 0.648993717013359,117.458977402629 0.648779525593361)",road,284.141
27227,JL RO SAKURA 9400,"LINESTRING(117.466917555507 0.628837205776931,117.469206558711 0.629766084456474)",road,274.718
18389,JL. RO GARUDA 01,"LINESTRING(117.47763708768 0.696933097230517,117.477929461361 0.697808304094042)",road,102.101
36115,JL. RANGKONG 06,"LINESTRING(117.469726368972 0.708019780458005,117.469918597782 0.708228300322645,117.469989974618 0.708346071794529)",road,46.711
32487,IN CS. HASSANUDIN,"LINESTRING(117.456985964047 0.595781707716101,117.457480203269 0.595392542974313,117.457063796996 0.594166674037679,117.456503399768 0.594104407678993)",road,275.86
35941,IN MHR SAMRAT,"LINESTRING(117.480202019945 0.6752107024902,117.478946102885 0.674603800244857)",road,155.071
32471,IN CS. PARIS 1,"LINESTRING(117.447256889323 0.697518100268548,117.446905423721 0.69784839324379,117.447467083126 0.699791220124639,117.447861420644 0.699825298675574)",road,321.315
14148,IN CRUSHER 3,"LINESTRING(117.507221876904 0.549310915220441,117.508294648407 0.549097696299112)",road,121.72
11698,JL. RO HOS COKRO AMINOTO 04,"LINESTRING(117.454538463102 0.654791529351226,117.45471940008 0.655522077382975,117.454822760085 0.655899941581572,117.454892085926 0.656134327201567,117.455032643926 0.656354766899359,117.455375814737 0.656725050251125)",road,238.592
26048,JL. RO SOEDIRMAN 03,"LINESTRING(117.452633702595 0.640062143301584,117.453040597141 0.638733747061463,117.453209333011 0.637510411999896,117.453309519934 0.636218527990914)",road,433.562
29294,JL. RO JUANDA 13500,"LINESTRING(117.470938964523 0.660169985937666,117.472002812613 0.661702459723149)",road,206.73
23279,JL. RO MERPATI 02,"LINESTRING(117.477133880325 0.697836519677912,117.475840109912 0.698008857140614)",road,145.267
23280,JL. RO MERPATI 001,"LINESTRING(117.475840109912 0.698008857140614,117.475596782193 0.698115777763749)",road,29.553
8880,JL RO SAKURA 9600C,"LINESTRING(117.470202407609 0.630223761212772,117.470251050956 0.630255381999215,117.470475214606 0.630551278017963,117.470532002731 0.630805330155272,117.470504381743 0.631437641555812)",road,146.372
36770,JL. RANGKONG 09,"LINESTRING(117.470037807568 0.71104545326233,117.469527982034 0.712484684705944)",road,168.958
26047,JL. RO SOEDIRMAN 02,"LINESTRING(117.453513393149 0.633834032273407,117.453309519934 0.636218527990914)",road,264.639
36769,JL. RANGKONG 08,"LINESTRING(117.47000173522 0.71068677838011,117.470037807568 0.71104545326233)",road,39.863
35519,JL.RO MAROKO 02,"LINESTRING(117.448732269752 0.689883924716204,117.448306479257 0.689578044682875,117.448074660862 0.68944800021772,117.447633640502 0.689329263966926,117.445189909072 0.689622961138478)",road,412.529
11683,JL. RO MERPATI 03,"LINESTRING(117.477929461361 0.697808304094042,117.477133880325 0.697836519677912)",road,88.612
14149,IN CRUSHER 4,"LINESTRING(117.507221876904 0.549310915220441,117.508079512029 0.549012584491439)",road,101.006
32675,IN STP. BELUT 1,"LINESTRING(117.437976134626 0.601878526798674,117.437141446014 0.602218528455452)",road,100.23
14151,IN CRUSHER 6,"LINESTRING(117.499223657261 0.55354524980923,117.498933862461 0.556208185730068,117.499272826083 0.557396331161024,117.49952877362 0.557801581428954,117.50010465558 0.557812245909689,117.500872498193 0.557385666680289,117.501821636978 0.556831113682068,117.502536157188 0.556372541010463,117.503197354993 0.555679349762687,117.503431973569 0.555050145399321,117.503645263184 0.55377040771112)",road,1188.288
25846,JL. IN FRONT CAPODACIA 25,"LINESTRING(117.450565771501 0.699936064552495,117.450565771501 0.699936064552495)",road,0
25993,JL. RO KASWARI 07,"LINESTRING(117.469786592174 0.684948158264799,117.470640635548 0.685169612897686,117.471384320798 0.685653135216925,117.472031361322 0.686340387298386)",road,301.414
25992,JL. RO KASWARI 06,"LINESTRING(117.467992826996 0.684708414649708,117.469786592174 0.684948158264799)",road,201.419
36488,IN SUPPORT KERTAJATI,"LINESTRING(117.432202154064 0.635074451176991,117.429721919415 0.632968396934651)",road,361.182
11702,JL. RO TULIP  10900,"LINESTRING(117.467129086982 0.6405422128321,117.466559029354 0.640978830351602,117.465778973446 0.641844573222328,117.465086153565 0.642387866482811)",road,306.731
4053,JL. RO MALAGA 01,"LINESTRING(117.439655633115 0.6112544618297,117.439845128126 0.611435717927086,117.440484856582 0.611614106838637,117.440897741105 0.611743722654158)",road,151.131
8861,JL. RO KENARI 07,"LINESTRING(117.479161144963 0.709691455834836,117.480016423059 0.710346573419423)",road,119.628
36814,JL. IP FLAMINGGO 08,"LINESTRING(117.468567731882 0.713830940373533,117.468356283664 0.713796640298762,117.468103617302 0.713637350636091,117.468103617302 0.713395669768591,117.468257414218 0.713082583190238,117.468416703881 0.71250584475643)",road,188.561
36046,JL. RO ROMA 11,"LINESTRING(117.457601296494 0.697933233162737,117.458538697305 0.697940747062644)",road,104.347
11701,JL. RO TULIP 10700,"LINESTRING(117.468926248761 0.639222213746804,117.467129086982 0.6405422128321)",road,247.634
32121,IN WF ROMA,"LINESTRING(117.449790251945 0.69860080187859,117.44984890119 0.699861931210018,117.449443576678 0.70030946231811)",road,206.567
27201,JL RO ANGGREK 7600,"LINESTRING(117.452895927224 0.629322283825387,117.453636675517 0.630278749109291)",road,134.105
34440,JL. RO PENAJAM 06,"LINESTRING(117.491715333235 0.724116449772478,117.491760865622 0.724318815934169,117.492032863259 0.724584316573166,117.493301699253 0.725571277728168)",road,243.602
35513,IN SUPPORT KESATRIA,"LINESTRING(117.460967856567 0.672457756887422,117.462218277442 0.673354528838357,117.462550497908 0.674777895422857,117.462672804326 0.676402243655513,117.462686922265 0.679758877509741)",road,883.858
30029,IN FRONT SUPPORT NIA,"LINESTRING(117.470186800018 0.586023890963993,117.470495776562 0.585432247756977,117.470732048983 0.585089652745647,117.470448522078 0.584687989628914,117.469881468266 0.584191817543539,117.468263002178 0.58325854147819,117.464410237031 0.579832987223047)",road,1037.953
36111,JL. MELBOURNE 06,"LINESTRING(117.465765207934 0.696275740463093,117.466291766349 0.696579753245256,117.466347488447 0.696720784401312,117.46634510203 0.696872062710395,117.465857717895 0.698705135842425)",road,310.906
36987, JL DISP SRIGUNTING 01,"LINESTRING(117.439953289506 0.687399878165564,117.440714811688 0.688999074746304,117.441537255643 0.690232740680017,117.442298777825 0.690781036650556,117.442793767243 0.691078030301265,117.443442114863 0.691272441923882)",road,604.042
27681,IN PSV SUPERNOVA,"LINESTRING(117.486851836082 0.697394054318777,117.486888397668 0.695958890725639,117.487045285658 0.695096006781883,117.487303030212 0.694300360548031,117.487553864868 0.693527898136191,117.488121089016 0.692641830370423,117.49056826457 0.689497966349319)",road,996.344
36749,IN FRONT EX1769,"LINESTRING(117.439531789312 0.663144257438909,117.439423653919 0.663355298710884,117.438856581938 0.663115834388671)",road,94.708
33486,JL. BEO - BANGAU 04,"LINESTRING(117.472159562838 0.709753039233405,117.472499423234 0.709595790393209)",road,41.635
32776,JL. MANILA 03,"LINESTRING(117.454548652998 0.704037952007091,117.454494140751 0.703706831800521,117.454478906127 0.70336659185343,117.454538550431 0.703057744889239,117.4546398377 0.702845962419061,117.455047798603 0.702502399837093,117.4555863667 0.702148483659182,117.455932589048 0.70205231078475)",road,306.329
36744,JL. FUJIYAMA 07,"LINESTRING(117.440397849317 0.66379784088084,117.440166928473 0.663643732671469,117.439531789312 0.663144257438909)",road,120.553
19206,JL. RO KOLIBRI 11,"LINESTRING(117.473004659398 0.709846530883918,117.473253523374 0.710511581681118,117.474216665864 0.712039913646616)",road,278.714
35517,IN SUPPORT PSV KEDASIH,"LINESTRING(117.476378240046 0.679279326796566,117.4766438548 0.679323034758927,117.47761338204 0.67902502100972)",road,142.797
34167,IN DISP. UNDERPASS MELATI MJ,"LINESTRING(117.44090589262 0.617250011847483,117.440932741889 0.61653581829913,117.440890389069 0.613179820383108)",road,450.145
37189,JL MELBOURNE 10,"LINESTRING(117.4654140921 0.70352043740104,117.465292182825 0.705741810685873)",road,246.002
37191,JL MELBOURNE 11,"LINESTRING(117.465650593386 0.700476655549871,117.4654140921 0.70352043740104)",road,337.592
37178,IN FRONT EX1853,"LINESTRING(117.466696758154 0.698824870693887,117.466465147754 0.698532699704883,117.466641310937 0.697657388889713)",road,140.086
37079,IN FRONT EX1771,"LINESTRING(117.465097381945 0.706156675184575,117.464893341286 0.706461385456746,117.464684167705 0.706661714811572,117.464417874083 0.706675488619581,117.464032207459 0.706698444966263,117.463342355603 0.706577761768755)",road,223.394
23918,IN STP. BEO 2,"LINESTRING(117.441018976116 0.608596083395866,117.440915182077 0.608751777950892,117.440792213742 0.609008033319588,117.440627484577 0.609516755741475,117.440513099361 0.60977811595831,117.440461547487 0.609997523571962)",road,167.877
15228,JL. STP TO CRUSHER 78,"LINESTRING(117.441018976116 0.608596083395866,117.441650995607 0.608997448390084)",road,83.181
20877,JL. RO TENGKU UMAR02,"LINESTRING(117.465947582262 0.660523621214994,117.465849096777 0.659335229693665)",road,131.862
20878,JL. RO TENGKU UMAR03,"LINESTRING(117.465849096777 0.659335229693665,117.465744045592 0.658507951618043,117.46562586301 0.658133706774309,117.465533943224 0.657910473007872)",road,162.363
17036,JL. RO TENGKUUMAR3,"LINESTRING(117.462553918215 0.655860414930984,117.462916057302 0.655922495917261)",road,40.891
20876,JL. RO TENGKU UMAR01,"LINESTRING(117.466161225073 0.662193042835793,117.466077494166 0.661742653629886,117.465947582262 0.660523621214994)",road,186.233
7727,JL. STP MELAWAN,"LINESTRING(117.441263665163 0.610120023950262,117.441586291819 0.60931885991932,117.441636342607 0.609107106582921,117.441650995607 0.608997448390084)",road,131.894
7775,JL. STP MERAK 01,"LINESTRING(117.468675239046 0.569404724867831,117.469224143446 0.569705970309575)",road,69.591
28722,JL. RO STP BELUT 01,"LINESTRING(117.437075615542 0.603613317148964,117.437560152423 0.603476652900577,117.437845904942 0.603379745524448,117.438029780477 0.603171021945093,117.438119233439 0.602870360598642,117.438146566289 0.602616910537996,117.437976134626 0.601878526798674)",road,267.141
35004,JL. FUJIYAMA 06,"LINESTRING(117.44092223516 0.665211557640952,117.440854256377 0.664967326469525,117.440397849317 0.66379784088084)",road,166.983
34266,JL. MAROKO 05,"LINESTRING(117.45406178143 0.691457632297619,117.455719297409 0.690814054664914,117.456807717519 0.69015269681493,117.457200099264 0.690004552686818,117.457424317404 0.689944494256502,117.458045553704 0.689874755048466,117.458876964296 0.68987092366325)",road,573.862
28629,JL. RO PANAMA 02,"LINESTRING(117.443442114863 0.691272441923882,117.443668277562 0.691602504480617,117.444048504264 0.692155661474252)",road,118.717
25746,JL. RO BALIKPAPAN 01,"LINESTRING(117.487534720164 0.718032268194853,117.488084736559 0.717471108944117,117.488347199989 0.717280226449868,117.488693174509 0.716970042396713,117.488876700853 0.715885078948471)",road,296.477
25716,JL. BEIJING 01,"LINESTRING(117.454908898908 0.709829985343201,117.45388691003 0.710386448979562)",road,129.333
24419,JL. TEUKU UMAR 007,"LINESTRING(117.462916057302 0.655922495917261,117.463133340754 0.655974230072491)",road,24.854
24420,JL. TEUKU UMAR 008,"LINESTRING(117.465533943224 0.657910473007872,117.465296997102 0.657381271850442,117.465146257751 0.657045000960661,117.464759739552 0.657004314834448,117.464257943995 0.65710603014998,117.463994457076 0.656969323950637,117.46379829141 0.656698615330765,117.463871684818 0.656498441754575,117.46374079014 0.656351839714623,117.463133340754 0.655974230072491)",road,400.121
35321,JL. IP FLAMINGGO 01,"LINESTRING(117.469191929945 0.720084475077949,117.469019921862 0.719716026773499,117.468945573011 0.719387447519008,117.468976345842 0.718825943200345,117.469131695903 0.717908469281307)",road,247.374
34550,IN DISP. OPD MERAK SELATAN,"LINESTRING(117.477003597827 0.703334283883377,117.476809659328 0.703387501312106,117.476434718906 0.703609215284363,117.4760138871 0.704072130271539,117.475866595968 0.704443865033968,117.475642152338 0.705243445466362)",road,276.292
31230,JL. RO ROMA 02,"LINESTRING(117.449751243989 0.700225368276802,117.449443576678 0.70030946231811)",road,35.487
35334,IN MHR  FUJIYAMA,"LINESTRING(117.441703108794 0.673074473053674,117.441578857173 0.67300105164091)",road,16.037
35333,IN DISP. HR KERTAJATI,"LINESTRING(117.432202154064 0.635074451176991,117.431110657751 0.633848685515462,117.428835028374 0.632612688934278,117.428316027932 0.631891514105043,117.428076863635 0.632066288014645,117.427627749389 0.63239261203594)",road,662.869
35967,JL.RO CAMAR 05,"LINESTRING(117.469119572963 0.692312822749524,117.469791542914 0.692261609255461,117.47056120073 0.692091014997154,117.471217176323 0.692070580603826,117.47161252044 0.692027689915196,117.471940953214 0.692145720443399,117.472058983742 0.692499812028008,117.472074379028 0.692946275330341)",road,409.564
36130,JL. GELATIC 04,"LINESTRING(117.465857717895 0.698705135842425,117.46611234364 0.69863442562509,117.466696758154 0.698824870693887)",road,97.777
9976,JL. RO GARUDA 03,"LINESTRING(117.476672966092 0.694408566609795,117.47588459923 0.693168065856003)",road,162.837
36118,JL MELBOURNE 07,"LINESTRING(117.465650593386 0.700476655549871,117.465502025247 0.700646447708501,117.465356489111 0.700989064028593,117.465268561029 0.701252848275035)",road,96.988
36253,JL. IP FLAMINGGO 06,"LINESTRING(117.470367956126 0.713162070533011,117.470256300089 0.713087842878205,117.470015122151 0.713099512778426,117.469913983016 0.713146192379308,117.46977783418 0.713278451248475)",road,75.216
33876,JL. CAMAR 05,"LINESTRING(117.470638848039 0.697429601219274,117.470308706079 0.697616845913264,117.469906097923 0.69783687375402)",road,93.173
36606,IN FRONT EX1811,"LINESTRING(117.452665169075 0.692041107206808,117.452440900603 0.692875789130576)",road,95.611
36727,IN FRONT EX1893,"LINESTRING(117.459773536799 0.675292406266107,117.461768409646 0.674159840117449)",road,254.933
35353,IN DISP. HYDROS 3 RL50,"LINESTRING(117.448106242444 0.71544071934285,117.446732105707 0.715833329839182)",road,158.998
35972,JL. PDWM 02,"LINESTRING(117.460871541676 0.672246970956025,117.460902065685 0.67305077945388,117.460753717706 0.673849835611716,117.460590944861 0.674383319339073,117.460228747012 0.674940989043951,117.459773536799 0.675292406266107)",road,378.069
36087,IN DISP. IPD MERAK RL-50,"LINESTRING(117.472074379028 0.692946275330341,117.471136035899 0.694160218501993)",road,170.081
35707,JL. RO CAMAR 08,"LINESTRING(117.471910162641 0.694131712374467,117.471992270835 0.693454319777823,117.472074379028 0.692946275330341)",road,132.373
35451,JL. BUTRESS 03,"LINESTRING(117.496043903374 0.726343900998657,117.496160255278 0.726781605779258,117.49625565101 0.727233619487515)",road,101.199
35070,JL. BUTRESS 01,"LINESTRING(117.496515044581 0.727866715660137,117.496361167039 0.727580943082217,117.49625565101 0.727233619487515)",road,76.104
36501,JL. RANGKONG 04,"LINESTRING(117.470008353716 0.710424504095441,117.47000173522 0.71068677838011)",road,29.01
36114,JL. RANGKONG 07,"LINESTRING(117.469989974618 0.708346071794529,117.470003907929 0.708449797550266,117.470008353716 0.710424504095441)",road,229.926
36560,JL. RO PENAJAM 08,"LINESTRING(117.493301699253 0.725571277728168,117.493496772183 0.725351820681965,117.493789381578 0.725262412255735,117.494819438102 0.725706735811706,117.495467684422 0.726072413223347,117.4958222807 0.726266333062854,117.496043903374 0.726343900998657)",road,345.09
4493,JL. RO AHMAD YANI 02,"LINESTRING(117.48720140916 0.652955824746008,117.486286504977 0.654525274129763,117.485724504327 0.655213095820562,117.485028294567 0.655875753303162,117.484357249015 0.656597127271561,117.483652651185 0.657058471088561,117.482956441425 0.657410770003361,117.482403771155 0.657830595195036)",road,772.991
26746,JL. RO ADAM MALIK 1500,"LINESTRING(117.45651102319 0.591251942547361,117.45702246959 0.589462594937289)",road,205.884
5948,JL. RO KOLIBRI KEN 02,"LINESTRING(117.480016423059 0.710346573419423,117.479550792016 0.710710347672171)",road,65.607
37145,IN FRONT EX755,"LINESTRING(117.460223542977 0.693237512689846,117.460204920086 0.694299017439698,117.460518737507 0.694937637165325)",road,196.176
34055,IN DISP. KERTAJATI RL110,"LINESTRING(117.429450548456 0.632921298685066,117.429700924896 0.632974997744916,117.431110657751 0.633848685515462,117.432202154064 0.635074451176991)",road,394.793
2630,JL. RO AHMAD YANI 03,"LINESTRING(117.48720140916 0.652955824746008,117.488219557419 0.651567440757361,117.489268558654 0.650256189212528,117.489695677027 0.649671000809399,117.489993603626 0.649006643622746,117.490247338749 0.648450075059988,117.490404789769 0.648357645479691,117.490550966518 0.648445798612529,117.490734075087 0.648898658201406,117.490796862247 0.649243356063546,117.490965472418 0.649654556150781,117.491613384946 0.650317895167579,117.49244641534 0.650873248763038,117.493587975508 0.651243484493344,117.495108107212 0.651118406652544)",road,1304.211
36284,IN CS. KAIRO,"LINESTRING(117.459811822289 0.690024179071911,117.459773508436 0.689533761764195,117.459110678794 0.689468628215514,117.458876964296 0.68987092366325)",road,180.059
37106,IN FRONT EX1722,"LINESTRING(117.469405398339 0.711670947214155,117.469478100027 0.711271299101761,117.46944440914 0.710916565311482,117.469363584366 0.710769178957885,117.469097338049 0.710726389371357,117.468883390117 0.710488669446201,117.468921425305 0.710269967115057,117.468955632475 0.710026133844964,117.46893107191 0.709909471164785,117.468845354929 0.709813544858756)",road,247.659
26509,JL. RO  KOLIBRI 09,"LINESTRING(117.473505697593 0.708435763544398,117.473081626915 0.708535002474287)",road,48.462
32454,IN DISP PSV JALAK,"LINESTRING(117.491364664985 0.670842580278354,117.49349103121 0.671086970570289)",road,238.228
37206,IN FRONT EX768,"LINESTRING(117.454657782404 0.576037912944445,117.456425702698 0.576321332720619)",road,199.274
34142,JL.RO MAROKO 01,"LINESTRING(117.444105919961 0.689961468645397,117.445189909072 0.689622961138478)",road,126.333
9959,JL. RO BIDADARI 14150,"LINESTRING(117.477316548016 0.660524961933032,117.477456918731 0.660590082367757,117.477582818238 0.660665332647885,117.477738277998 0.660798928465096)",road,56.255
30568,JL. RO SRIGUNTING 06,"LINESTRING(117.444105919961 0.689961468645397,117.443688242474 0.69013465199397,117.443433338628 0.690172605585117)",road,78.964
37174,IN FRONT EX1842,"LINESTRING(117.462338442775 0.690460329933994,117.462255840797 0.691554400056489,117.462524477849 0.69327421210799)",road,313.829
35186,JL. RO FUJIYAMA 04 A 02,"LINESTRING(117.443644941392 0.668144862831228,117.443495944904 0.667670281422607,117.443131550558 0.667082245151859,117.442784402796 0.666867956409638,117.442260309626 0.666810988022255,117.441792034536 0.666863199153539,117.441581914462 0.666716603753014,117.441435319061 0.666496710652225,117.441278950634 0.666081357017403,117.441151901287 0.665709982002739)",road,438.405
27110,JL. RO BEO 6,"LINESTRING(117.476515476052 0.712134364033037,117.476161641367 0.712147469021371,117.475330785107 0.712081944079703)",road,132.179
9960,JL RO TAMRIN 14200,"LINESTRING(117.477738277998 0.660798928465096,117.477796526684 0.661172405333478)",road,41.803
37121,IN FRONT EX1844,"LINESTRING(117.454988575933 0.575751554366968,117.456553673676 0.574724613261536)",road,207.957
37207,IN DISP. INPIT PSE,"LINESTRING(117.450417968331 0.578553311959295,117.449869535981 0.577992519365867,117.44997869464 0.577152837373303,117.449533663184 0.576632234537913)",road,256.602
35845,IN CS. PARIS 2,"LINESTRING(117.44886706368 0.707897261837508,117.44929405559 0.707551035381835,117.449299133798 0.706718209242686,117.4487800511 0.706600565148342)",road,212.347
34180,JL. RO TOKYO 06,"LINESTRING(117.448767563218 0.705730787865704,117.4487800511 0.706600565148342)",road,96.185
27218,JL RO SAKURA 8600,"LINESTRING(117.460740368799 0.628037187951801,117.461563717183 0.626959134672029,117.462002046539 0.626734046624604)",road,205.137
29353,JL. RO MERPATI 5,"LINESTRING(117.483718730244 0.698867812521791,117.484206716645 0.698956534795825,117.484735292022 0.698971636949463,117.485168220427 0.698891092130056,117.48576223847 0.698689730081539,117.486146165373 0.698526841509115)",road,279.208
480,JL. RO SAMRAT 03,"LINESTRING(117.48659742215 0.676195136436267,117.482636734826 0.676095287176006)",road,441.009
33542,JL. TEMBUSAN TOKYO,"LINESTRING(117.454908898908 0.709829985343201,117.454974523596 0.709354950897663,117.455089512474 0.708917493212024,117.455209566884 0.708696234183098)",road,130.946
1774,JL. RO SAMRAT 04,"LINESTRING(117.490748687342 0.674165330281301,117.489854832103 0.674797569352961,117.487806860133 0.675808682884601,117.48659742215 0.676195136436267)",road,516.749
27217,JL RO SAKURA 8400,"LINESTRING(117.459889806627 0.628419812545185,117.460740368799 0.628037187951801)",road,103.702
27111,JL. RO BEO 5,"LINESTRING(117.475330785107 0.712081944079703,117.474765159603 0.71201293623544,117.474402994373 0.711996436994523,117.474216665864 0.712039913646616)",road,125.066
27204,JL RO SAKURA 8200,"LINESTRING(117.457356244101 0.628849462284569,117.459067782773 0.628641214233269)",road,191.903
4676,JL. RO AHMAD YANI 05,"LINESTRING(117.4975430663 0.649778957534379,117.498976397401 0.648620890499801)",road,204.58
34961,JL. RO HOS COKRO AMINOTO 07,"LINESTRING(117.457898510931 0.660060172534757,117.458417136611 0.660799140829938,117.458759075302 0.661403639587415,117.459033847465 0.661995926248781,117.459381892204 0.662911833457079,117.459723830895 0.663717831800382)",road,454.591
33362,JL. BLOCK 01,"LINESTRING(117.50187197091 0.724246762820455,117.502114757733 0.723713713262537,117.502022709496 0.723572705369627,117.501902703255 0.723497426931125,117.501283159853 0.723210696100564,117.501093712697 0.723118532619313,117.500933067605 0.723152665068649)",road,216.835
8882,JL RO SAKURA 9800,"LINESTRING(117.470504381743 0.631437641555812,117.4704997684 0.633761120226791)",road,256.918
33363,JL. BLOCK 02,"LINESTRING(117.500933067605 0.723152665068649,117.500834933377 0.723335178157538,117.500740978788 0.723640530570344,117.500556425132 0.723966016109268,117.500301405535 0.724184124975558,117.500026252811 0.724392167278788)",road,175.288
27216,JL RO SAKURA  8100,"LINESTRING(117.455800891468 0.629448175432057,117.456508345186 0.629077379405603,117.457356244101 0.628849462284569)",road,186.472
27202,JL RO SAKURA 7900,"LINESTRING(117.454344174233 0.630383060118827,117.455059007786 0.629819117273435,117.455800891468 0.629448175432057)",road,193.3
27205,JL RO SAKURA 8300,"LINESTRING(117.459067782773 0.628641214233269,117.459889806627 0.628419812545185)",road,94.72
